"","Anhui","Beijing","Chongqing","Fujian","Gansu","Guangdong","Guangxi","Guizhou","Hainan","Hebei","Heilongjiang","Henan","Hubei","Hunan","Inner Mongolia","Jiangsu","Jiangxi","Jilin","Liaoning","Ningxia","Qinghai","Shaanxi","Shandong","Shanghai","Shanxi","Sichuan","Tianjin","Tibet","Xinjiang","Yunnan","Zhejiang","Thailand","Japan","South Korea","Taiwan","Seattle, WA","Chicago, IL","Tempe, AZ","Macau","Hong Kong","Singapore","Vietnam","France","Nepal","Malaysia","Toronto, ON","British Columbia","Orange, CA","Los Angeles, CA","New South Wales","Victoria","Queensland","Cambodia","Sri Lanka","Germany","Finland","United Arab Emirates","Philippines","India","London, ON","Italy","UK","Russia","Sweden","Santa Clara, CA","Spain","South Australia","Boston, MA","San Benito, CA","Belgium","Madison, WI","Diamond Princess cruise ship","San Diego County, CA","San Antonio, TX","Egypt","Iran"
"2/10/20",830,337,486,261,83,1159,210,109,138,218,331,1073,31728,879,58,492,771,80,108,49,18,213,466,299,119,405,95,1,49,149,1092,32,26,27,18,1,2,1,10,38,45,14,11,1,18,2,4,1,1,4,4,5,1,1,14,1,8,3,3,1,3,8,2,1,2,2,2,1,2,1,1,135,0,0,0,0
"2/11/20",860,342,505,267,86,1177,215,127,144,239,360,1105,33366,912,58,515,804,81,111,53,18,219,487,303,124,417,106,1,55,153,1117,33,26,28,18,1,2,1,10,49,47,15,11,1,18,2,4,1,1,4,4,5,1,1,16,1,8,3,3,1,3,8,2,1,2,2,2,1,2,1,1,135,1,0,0,0
"2/12/20",889,352,518,272,87,1219,222,133,157,251,378,1135,33366,946,60,543,844,83,116,58,18,225,497,311,126,436,112,1,59,154,1131,33,28,28,18,1,2,1,10,50,50,15,11,1,18,2,4,1,1,4,4,5,1,1,16,1,8,3,3,1,3,9,2,1,2,2,2,1,2,1,1,175,1,0,0,0
"2/13/20",910,366,529,279,90,1241,222,135,157,265,395,1169,48206,968,61,570,872,84,117,64,18,229,509,315,126,451,119,1,63,156,1145,33,28,28,18,1,2,1,10,53,58,16,11,1,19,2,4,1,1,4,4,5,1,1,16,1,8,3,3,1,3,9,2,1,2,2,2,1,2,1,1,175,2,1,0,0
"2/14/20",934,372,537,281,90,1261,226,140,159,283,419,1184,54406,988,65,593,900,86,119,67,18,230,523,318,127,463,120,1,65,162,1155,33,29,28,18,1,2,1,10,56,67,16,11,1,19,2,4,1,1,4,4,5,1,1,16,1,8,3,3,1,3,9,2,1,2,2,2,1,2,1,1,218,2,1,1,0
"2/15/20",950,375,544,285,90,1294,235,143,162,291,425,1212,56249,1001,68,604,913,88,119,70,18,232,532,326,128,470,122,1,70,168,1162,33,43,28,18,1,2,1,10,56,72,16,12,1,22,2,4,1,1,4,4,5,1,1,16,1,8,3,3,1,3,9,2,1,2,2,2,1,2,1,1,285,2,1,1,0
"2/16/20",962,380,551,287,90,1316,237,144,162,300,445,1231,58182,1004,70,617,925,89,121,70,18,236,537,328,129,481,124,1,71,171,1167,34,59,29,20,1,2,1,10,57,75,16,12,1,22,2,4,1,1,4,4,5,1,1,16,1,9,3,3,1,3,9,2,1,2,2,2,1,2,1,1,355,2,1,1,0
"2/17/20",973,381,553,290,91,1322,238,146,163,301,457,1246,59989,1006,72,626,930,89,121,70,18,240,541,333,130,495,125,1,75,171,1171,35,66,30,22,1,2,1,10,60,77,16,12,1,22,2,5,1,1,4,4,5,1,1,16,1,9,3,3,1,3,9,2,1,2,2,2,1,2,1,1,454,2,1,1,0
"2/18/20",982,387,555,292,91,1328,242,146,163,306,464,1257,61682,1007,73,629,933,89,121,70,18,240,543,333,131,508,128,1,76,172,1172,35,74,31,22,1,2,1,10,62,81,16,12,1,22,2,5,1,1,4,4,5,1,1,16,1,9,3,3,1,3,9,2,1,2,2,2,1,2,1,1,542,2,1,1,0
"2/19/20",986,393,560,293,91,1331,244,146,168,306,470,1262,62031,1008,75,631,934,90,121,71,18,242,544,333,131,514,130,1,76,172,1174,35,84,31,23,1,2,1,10,63,84,16,12,1,22,2,5,1,1,4,4,5,1,1,16,1,9,3,3,1,3,9,2,1,2,2,2,1,2,1,1,621,2,1,1,2
"2/20/20",987,395,567,293,91,1332,245,146,168,307,476,1265,62442,1010,75,631,934,91,121,71,18,245,546,334,132,520,131,1,76,174,1175,35,94,104,24,1,2,1,10,68,84,16,12,1,22,2,5,1,1,4,4,5,1,1,16,1,9,3,3,1,3,9,2,1,2,2,2,1,2,1,1,634,2,1,1,5
